label,category,locality,postal_code,latitude,longitude,ville_proche
Belvédère du Vanteur,Landform,Bourg-de-Sirod,39300,46.72835,5.95821,80
Location trottinette électrique tout terrain - Val'Nature,SportsAndLeisurePlace,Ounans,39380,47.0028997,5.664336,79
Maison de la Toison d’Or - Galerie Toison d’Or,CulturalSite,Noyers,89310,47.698142,3.9963703,187
État de siège,CulturalSite,Ornans,25290,47.1053673,6.14559945,61
Le Panoptique - Musée Rolin,CulturalSite,Autun,71400,46.945613,4.299309,126
La boîte à musique,SportsAndLeisurePlace,Perrigny,39570,46.6657786,5.58517,87
Lavoir de Méré,CulturalSite,Méré,89144,47.9026061,3.81765246,171
Chapelle Notre-Dame de Lourdes,CulturalSite,Montperreux,25160,46.825355,6.341902,64
Eglise Saint-Martin de Chablis et la Châsse de Saint-Epain,CulturalSite,Chablis,89800,47.8161291,3.79979196,171
"Les Prés-de-Vaux, de l’industrie aux loisirs",SportsAndLeisurePlace,Besançon,25000,47.233909,6.03728409,35
Eglise Saint-Nazaire,CulturalSite,Briant,71110,46.3005943,4.14933774,155
Confrerie Saint-Vincent,SportsAndLeisurePlace,Champlitte,70600,47.6166941,5.51335573,112
Chapelle et Fontaine Saint Martin,CulturalSite,Beurey-Bauguay,21320,47.231032,4.433327,22
Véronique Barrillot,CulturalSite,Dijon,21000,47.3190992,5.04016556,8
Atrium Spa & Beauté,SportsAndLeisurePlace,Mâcon,71000,46.3048417,4.8324503,151
La grange aux motos,CulturalSite,Bussy-le-Grand,21150,47.56319,4.52375,29
L'app'Art - Boutique de Créateurs,CulturalSite,Joigny,89300,47.9824198,3.39592731,176
Bibliothèque pour tous,CulturalSite,Dampierre-sur-Salon,70180,47.5585576,5.68208211,112
Répetition chorale Canzonetta,SportsAndLeisurePlace,Clamecy,58500,47.453449,3.531087,98
Sabotier sculpteur,CulturalSite,Ney,39300,46.7363256,5.8875118,80
Réseau des médiathèques Coeur de Loire,CulturalSite,Cosne-Cours-sur-Loire,58200,47.4093187,2.92258411,99
Belvédère de Molvaux,CulturalSite,Saussy,21380,47.467968,4.9610203,19
Le Tilleul de Chaignay,Landform,Chaignay,21120,47.476018,5.06588369,12
Galerie Barnoud,CulturalSite,Quetigny,21800,47.316541,5.094051,21
Découvrez 2 sites beaunois en un seul billet : une aventure culturelle unique !,SportsAndLeisurePlace,Beaune,21200,47.02182,4.8372,3
