ville1,ville2,distance,id_liaison
178,184,7.760435079853994,1405
178,185,11.264173906125823,1406
180,293,17.13715064709986,1407
180,295,17.619968064863986,1408
180,299,15.405353504210083,1409
180,300,19.431540901000936,1410
180,302,15.268889982604785,1411
180,303,12.55424434406654,1412
180,304,14.801470299734135,1413
180,306,18.566381529798186,1414
180,307,15.83977985392289,1415
181,182,12.384036136181637,1416
183,184,10.642435855385848,1417
183,185,14.81417026366307,1418
184,185,4.188902970709583,1419
186,204,19.58263123644404,1420
186,212,16.482152313430927,1421
186,213,12.970820632911687,1422
186,224,19.291004386494777,1423
186,242,15.884193414452007,1424
187,190,12.775164299241945,1425
187,200,12.614675743622003,1426
187,204,10.9464917630023,1427
187,210,13.123967368891345,1428
187,223,2.7994302751572473,1429
187,224,9.546708134946194,1430
187,225,8.119499067805453,1431
187,228,16.247121861953964,1432
187,242,15.795570292691561,1433
187,243,6.841423002374132,1434
187,245,8.088354127089707,1435
187,250,9.282790188203881,1436
189,207,16.757686430299906,1437
189,219,3.7030381525529674,1438
189,226,19.47874257782286,1439
189,233,17.825828748651503,1440
189,235,13.20090587773405,1441
189,236,16.600787443370056,1442
189,248,14.847771667314266,1443
189,249,1.3086678786602304,1444
190,191,18.47531612689228,1445
190,204,4.488098247944855,1446
190,210,5.998439573596452,1447
190,216,19.800957504145735,1448
190,223,15.570747371134225,1449
190,224,7.375513167230567,1450
190,225,5.413064077394491,1451
190,237,12.87198219607836,1452
190,242,6.3604070667026,1453
190,243,19.154490086879726,1454
190,250,3.49456456337179,1455
191,193,14.386172215924635,1456
191,194,16.089075011519796,1457
191,198,12.489958494366247,1458
191,205,18.512686245563522,1459
191,210,12.847595206662099,1460
191,211,16.26761975311041,1461
191,214,16.427032335381863,1462
191,216,8.666375503546108,1463
191,220,13.121954508705338,1464
191,225,17.65346321302672,1465
191,226,19.672528145421836,1466
191,234,18.241345566128228,1467
191,237,15.370177978464328,1468
191,239,16.890456397482527,1469
191,241,12.549314914801098,1470
191,247,15.699084451007355,1471
191,250,19.29442146560665,1472
191,252,13.979214779113143,1473
192,193,15.527944538059382,1474
192,194,11.728358415381217,1475
192,198,13.917694056751918,1476
192,205,14.154870441879076,1477
192,208,6.451070840364887,1478
192,214,6.78953114332335,1479
192,215,15.141105348493516,1480
192,216,14.140351048598337,1481
192,220,18.98645958325961,1482
192,234,4.166124110787956,1483
192,237,11.486241017079896,1484
192,238,12.436388758618895,1485
192,239,18.39080083942654,1486
192,241,16.760940139965314,1487
192,246,15.567030686779214,1488
193,194,3.9138888060641235,1489
193,198,2.923851317035592,1490
193,205,4.315419533403724,1491
193,208,15.69515804530642,1492
193,211,5.1980345115983795,1493
193,214,9.179211298144752,1494
193,215,12.395351356627188,1495
193,216,8.087713328694857,1496
193,220,3.643672298527462,1497
193,226,10.682777597799682,1498
193,234,12.713304049391985,1499
193,236,13.672687867325712,1500
193,237,17.46573839057707,1501
193,238,18.391528862138703,1502
193,239,3.7224311938568553,1503
193,240,16.43694022192508,1504
193,241,2.086101924983652,1505
193,246,7.522687460779025,1506
193,247,16.41400286474473,1507
193,252,8.609293266326693,1508
193,253,17.96287374253294,1509
194,198,3.718440157963054,1510
194,205,3.604543238952822,1511
194,208,11.89118545536901,1512
194,211,8.791760909496658,1513
194,214,5.807852266518561,1514
194,215,10.48369297880495,1515
194,216,8.148686918993585,1516
194,220,7.537643054816496,1517
194,226,14.17258826932074,1518
194,234,9.297637943374827,1519
194,236,17.12608101876101,1520
194,237,15.383247343602758,1521
194,238,15.126466282769625,1522
194,239,6.744228323107136,1523
194,240,17.12344706733906,1524
194,241,5.591043436239655,1525
194,246,6.807164948793566,1526
194,252,12.52251310693065,1527
194,253,16.572066842873713,1528
195,196,11.282503045409369,1529
195,203,4.534228367777214,1530
195,218,15.647168384926832,1531
195,221,12.383790339824788,1532
195,230,12.288012590992164,1533
195,231,14.941660907603413,1534
195,232,2.582162671859471,1535
195,244,15.695742153468217,1536
196,202,16.83443889113749,1537
196,203,7.258827654018119,1538
196,218,4.366286068975246,1539
196,221,3.48015302016731,1540
196,230,3.4108325458815494,1541
196,231,5.853322314009698,1542
196,232,13.725783736612915,1543
196,244,4.963892194621485,1544
197,200,19.110115646364637,1545
197,201,16.27770340368531,1546
197,227,12.039670242249173,1547
198,205,6.1722198035333955,1548
198,208,15.243357971837439,1549
198,211,7.810502833360537,1550
198,214,7.205502150045196,1551
198,215,13.947112954733884,1552
198,216,5.278873973050493,1553
198,220,5.319894358843259,1554
198,226,13.239150333088574,1555
198,234,10.61745591913769,1556
198,236,16.220429711239785,1557
198,237,14.61519392250402,1558
198,238,18.818641559183682,1559
198,239,6.630262121520269,1560
198,240,19.169554022203503,1561
198,241,2.9960184291019227,1562
198,246,9.610847343146238,1563
198,247,17.44049569253164,1564
198,252,10.185319660883634,1565
198,253,19.8676356110956,1566
199,201,9.596971032777773,1567
200,217,18.422016229198107,1568
200,223,9.816844055144456,1569
200,228,6.356879741545975,1570
200,243,6.704434020016503,1571
200,245,6.845225529293916,1572
202,218,14.129910096262106,1573
202,221,19.14164507482611,1574
202,230,14.11689109584028,1575
202,231,11.270546205164127,1576
202,244,16.70462001634702,1577
203,218,11.570964424435491,1578
203,221,7.882357588450184,1579
203,230,9.115968847175727,1580
203,231,11.950968036251382,1581
203,232,7.1162838451748325,1582
203,244,11.294407464159379,1583
204,210,9.747258220910787,1584
204,213,19.835220879524094,1585
204,223,13.65222077291722,1586
204,224,3.011065501272744,1587
204,225,6.411824710735122,1588
204,237,16.958560168538433,1589
204,242,4.890459903407226,1590
204,243,17.76320328457299,1591
204,245,17.657781356858987,1592
204,250,3.7681259270342906,1593
205,208,12.687731000794745,1594
205,211,7.178676506169018,1595
205,214,9.095912559509578,1596
205,215,8.080635474624225,1597
205,216,11.294940090973569,1598
205,220,7.400585190839078,1599
205,226,11.998374041578286,1600
205,234,12.416599614818475,1601
205,236,14.803592169196623,1602
205,237,18.971369767333925,1603
205,238,14.471472840920754,1604
205,239,4.769234987186641,1605
205,240,13.527192600657246,1606
205,241,6.391371146646055,1607
205,246,3.4420046482807574,1608
205,247,19.853301904462686,1609
205,252,11.836862302752158,1610
205,253,13.76196365304902,1611
206,219,19.38398208317397,1612
207,219,18.93028017646271,1613
207,226,18.495585956480962,1614
207,233,8.11564515257426,1615
