ville1,ville2,distance
81,86,1.820808739775996
81,88,8.128259478919876
81,94,8.40864891783668
82,83,9.60084283008594
82,84,4.818552539622228
82,96,4.4935060497373875
83,84,4.794187539819982
84,96,7.67961595028198
85,90,2.3576560253718983
85,92,5.161337182213104
86,88,8.179465269490695
86,94,9.278940227985895
87,89,2.7015148948824077
90,92,7.33163691059035
100,104,9.455509105070353
100,108,3.9352083503262847
100,110,5.238217652103657
100,111,5.613037219010911
101,106,7.117808836416854
102,103,3.186483929904194
102,107,4.588675230704971
102,108,8.59865737268039
102,109,6.25712041264106
102,111,6.316744304934284
103,107,7.407591127295645
103,108,8.812722319131893
103,109,3.113049126711809
103,111,6.127606043459835
105,110,6.769080729602512
107,108,7.512214388701755
107,111,6.569188268911852
108,110,7.901014676151916
108,111,2.7088062622986855
109,111,7.953467325416369
112,116,1.790259848608121
113,122,5.237235977398509
114,124,4.805033665367224
114,125,3.1019004229307052
115,119,8.093628529386272
117,191,9.765446532052627
117,197,9.27193899461061
120,124,9.06047841306662
124,125,6.093432654583912
127,152,3.2285599361022546
127,160,6.941220486347974
129,150,5.126400187559302
130,143,6.551800019497669
130,153,5.542617676936324
130,164,4.176138875810845
131,148,9.515802130417592
133,134,4.060181250709286
133,138,4.233371798200959
133,144,5.08319757985277
133,158,5.289351137328554
133,159,2.3440940946853392
133,166,8.876062652479554
134,138,4.183654667480222
134,144,5.259035791964516
134,158,8.317547164715318
134,159,5.571324944911407
135,142,5.233388753691903
135,156,2.9664293973834566
136,142,7.23476082579272
136,151,5.036408268159645
136,161,6.162700875470487
138,144,8.442224606442393
138,148,7.650131620273623
138,158,9.511161595851208
138,159,3.586416259794638
140,160,8.76725970947562
140,162,6.847366607592495
142,151,8.605509527718754
142,156,8.199656982372451
143,153,7.2975626762536825
143,164,4.502773159325507
144,147,9.608253038631913
144,158,4.868915622673751
144,159,7.413152222872225
151,161,3.6321513236770575
152,160,4.39841469578565
152,162,8.219300821901028
153,164,2.8977228655101777
154,157,3.8208173390620286
154,158,8.720861229005887
154,166,8.343156995061976
158,159,6.671901962424961
158,166,7.4245963663479735
159,166,7.959286858130313
160,162,8.964632055838356
163,165,9.795027674595222
163,166,8.013947347287864
167,174,8.51985718232406
167,178,6.613824334963305
167,184,7.885618608660641
168,175,9.985427163083871
168,178,5.7594165005917874
168,184,4.258266278708147
172,181,9.635721430771339
172,189,7.394023967426554
174,177,2.880764830461292
175,184,7.44141440841953
178,184,6.939127441739635
180,182,6.023894122768003
180,186,4.503721139034471
182,186,2.1733751384970192
185,190,5.554778671986756
191,193,3.6142507244915696
191,194,7.030451403307351
191,195,3.604800272075891
191,197,2.4247374325000415
191,198,7.244761680373208
191,201,7.162776446227298
191,202,5.367329722616147
192,196,8.020015132127645
192,200,7.637950243448482
193,194,9.253323455963724
193,195,3.037347334836588
193,197,4.571286602533223
193,198,7.234239121998575
193,201,3.548552277012228
193,202,3.132856929607755
194,195,6.547891481483061
194,197,9.151131702510991
195,197,5.77881945799819
195,198,9.774917996142964
195,201,5.572135494595431
195,202,6.147378142454033
196,200,4.170359633972918
197,198,5.056713413222414
197,201,7.808010335481018
197,202,4.744970051757171
198,199,8.00153596985455
198,201,8.793807307627688
198,202,4.763217449756302
199,202,9.080350726338288
201,202,4.058005821500702
