Identifier,Label,Category,Locality,Postal Code,Latitude,Longitude
PCUCHA052V500AO5,FONTAINE RONDE A LA ROCHELLE (2),CulturalSite,La Rochelle,70120,47.7470358,5.7319076
PCUCHA052V500AO7,LAVOIR RECTANGULAIRE A LA ROCHELLE (2),CulturalSite,La Rochelle,70120,47.7460384,5.733055
PCUCHA052V50074G,CROIX A OUGE (2),CulturalSite,Ouge,70500,47.7944243,5.70257129
PCUCHA052V50074H,CROIX A OUGE (3),CulturalSite,,,47.7950262,5.70484582
PCUCHA052V5008C9,MUSEE DES OUTILS D'HIER A CHAUVIREY-LE-VIEIL,CulturalSite,Chauvirey-le-Vieil,70500,47.785341,5.757389
PCUBFC000V502E7I,Parc du Château de Drée,CulturalSite,Curbigny,71800,46.320872,4.3094849
ASCBFC000V50DH7A,Bibliothèque-Médiathèque,CulturalSite,Semur-en-Auxois,21140,47.4902,4.33675
ASCBFC000V508FGR,"Loc Val de Loire, Point de location-dépôt",SportsAndLeisurePlace,Nevers,58000,46.981255,3.159873
ARTBOU089V503005,Emaux Créations,CulturalSite,Vézelay,89450,47.4651807,3.74495209
PCUBFC000V52ZQTX,Église notre-Dame de Martrois,CulturalSite,Martrois,21320,47.3106871,4.53781946
ASCBOU089V5014ZF,Comité Départemental de Vol en Planeur de l'Yonne,SportsAndLeisurePlace,Paron,89100,48.178053,3.250624
ASCBFC000V5103QF,Cinéode - cinécomté,SportsAndLeisurePlace,Poligny,39800,46.83635,5.70289
ASCBFC039319000949,Le village des écureuils,SportsAndLeisurePlace,Clairvaux-les-Lacs,39130,46.5604607,5.76209952
ASCBOU000V50DAAG,Ludolac,SportsAndLeisurePlace,Vaivre-et-Montoille,70000,47.6314456,6.12238883
PCUBOU071V508VPG,Eglise Saint-Gilles,CulturalSite,Saint-Gilles,71510,46.87887,4.66313
ARTBFC000V51S4JC,L'Atelier Sauvage,CulturalSite,Landresse,25530,47.252377,6.5046
ARTBFC000V51AQGN,Cabottine,CulturalSite,Semur-en-Auxois,21140,47.4909093,4.33213
PCUBFC000V50765N,Industrie Le Chat - Le Textile Indémaillable,CulturalSite,Chauffailles,71170,46.20875,4.3361322
ASCBFC039320000831,Cpie bresse jura,SportsAndLeisurePlace,Sellières,39230,46.8236517,5.56197459
MONBOU02100268,Village de Savigny-lès-Beaune,CulturalSite,Savigny-lès-Beaune,21420,47.0632328,4.8174982
ASCBFC000V51ZTRI,"Randonneurs du Bazois ""Traîne-Savates""",SportsAndLeisurePlace,Châtillon-en-Bazois,58110,47.05235,3.65599
