label,category,latitude,longitude,commune_proche
Location de matériel de ski - Intersport Alti 1000,SportsAndLeisurePlace,46.7690938,6.35525819,Damprichard
Maison du Sabotier,CulturalSite,46.5984567,5.39193562,Jougne
"Fontaines, lavoirs et abreuvoirs de Pin",CulturalSite,47.3220057,5.86436704,Damprichard
Centre équestre de la Forêt de Chaux,SportsAndLeisurePlace,47.0735723,5.5241681,Jougne
Le Lavoir du Donjon,CulturalSite,47.681093,3.69013756,Jougne
Halles de Nolay,CulturalSite,46.9520801,4.6334194,Jougne
Musée de l'Ecole en Chalonnais,CulturalSite,46.7662639,4.8369829,Jougne
Le Ball Park des Deux Pirates,SportsAndLeisurePlace,46.9099704,6.34142729,Damprichard
Terroirs By Adeline,SportsAndLeisurePlace,47.0283228,4.833457,Jougne
France Intense - Divine Bourgogne Tours,SportsAndLeisurePlace,47.0423,4.83627,Jougne
La Basse Cour,CulturalSite,47.3379189,6.3534798,Damprichard
Les Sept Ecluses de Rogny,CulturalSite,47.7417051,2.87886037,Jougne
Pavillon du Milieu de Loire,CulturalSite,47.2859665,2.94953229,Jougne
Canoë Kayak - Morvan - Lac des Settons - ACTIVITAL,SportsAndLeisurePlace,47.18644,4.06971,Jougne
Le parc de l'etang,CulturalSite,47.4319775,5.64027786,Damprichard
Basse vallée du Doubs,Landform,47.0113357,5.4136931,Jougne
Château d'Ancy-le-Franc,CulturalSite,47.7741492,4.1618948,Jougne
"Restauration de céramique, Atelier Tiphaine Jacquinot",CulturalSite,46.9521839,4.63471978,Jougne
Eglise Saint-Pierre Es Liens,CulturalSite,47.2925326,4.73424847,Jougne
Expérience Oenologique Evasion,SportsAndLeisurePlace,46.912229,4.698951,Jougne
Dégustation 3 vins au Domaine de la Cozanne,SportsAndLeisurePlace,46.96043,4.64155,Jougne
ACTIVE TOURS/ BOURGOGNE EVASION,SportsAndLeisurePlace,47.0268479,4.827633,Jougne
Lavoir de la source,CulturalSite,46.6463803,4.69224815,Jougne
Musée de la Pipe et du Diamant,CulturalSite,46.3869609,5.86623167,Jougne
Église Saint-Eusèbe,CulturalSite,46.5797832,4.56813187,Jougne
Jardin des Bords de Bourbince,CulturalSite,46.4507966,4.11729238,Jougne
Rêv'artrire,CulturalSite,46.9518595,4.6335319,Jougne
Code39 escape game mobile,SportsAndLeisurePlace,46.94991,5.41122,Jougne
Les Repaires,SportsAndLeisurePlace,46.9778987,6.0000942,Jougne
Woka Marnay - parcours dans les arbres,SportsAndLeisurePlace,47.289145,5.778297,Damprichard
Le Chat dans l'Échiquier,CulturalSite,47.705776,3.010566,Jougne
La Grotte de Champ Retard - Parcours aventure sur rocher,SportsAndLeisurePlace,47.587037,3.964561,Jougne
Ferme équestre de Juilly,SportsAndLeisurePlace,47.208005,4.44404556,Jougne
Château des Princes de Condé,CulturalSite,47.1297495,4.48497979,Jougne
Piscine intercommunale,SportsAndLeisurePlace,46.5416375,6.0199491,Jougne
Activital Base Sport et Nature de Baye,SportsAndLeisurePlace,47.1781005,3.61934995,Jougne
Automnales,CulturalSite,46.3059473,4.25942293,Jougne
Parc Acroland,SportsAndLeisurePlace,47.481597,6.67379979,Damprichard
Point de vue sur les hauteurs de Crugey,Landform,47.18399,4.67128,Jougne
Chemin des lavoirs,CulturalSite,46.8495618,4.7708189,Jougne
Belvédère du Vanteur,Landform,46.72835,5.95821,Jougne
Location trottinette électrique tout terrain - Val'Nature,SportsAndLeisurePlace,47.0028997,5.664336,Jougne
Maison de la Toison d’Or - Galerie Toison d’Or,CulturalSite,47.698142,3.9963703,Jougne
État de siège,CulturalSite,47.1053673,6.14559945,Damprichard
Le Panoptique - Musée Rolin,CulturalSite,46.945613,4.299309,Jougne
La boîte à musique,SportsAndLeisurePlace,46.6657786,5.58517,Jougne
