Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Valravillon,89196,89113,1,Charny Orée de Puisaye,CC de l'Aillantais en Bourgogne,1777,47.89222,3.43972,112,11.83
Venoy,89438,89290,1,Auxerre-3,CA de l'Auxerrois,1747,47.80639,3.63861,210,23.15
Vergigny,89439,89600,1,Saint-Florentin,CC Serein et Armance,1501,47.97111,3.71833,100,33.78
Vermenton,89441,89270,1,Joux-la-Ville,CC Chablis Villages et Terroirs,1273,47.66444,3.73472,131,25.68
Véron,89443,89510,3,Villeneuve-sur-Yonne,CA du Grand Sénonais,1853,48.12861,3.30889,79,15.85
Villeblevin,89449,89340,3,Pont-sur-Yonne,CC Yonne Nord,1813,48.32333,3.08333,80,7.39
Villefargeau,89453,89240,1,Auxerre-1,CA de l'Auxerrois,1101,47.78167,3.50500,130,14.07
Villeneuve-l'Archevêque,89461,89190,3,Brienon-sur-Armançon,CC de la Vanne et du Pays d'Othe,1111,48.23389,3.55750,110,6.94
Villeneuve-la-Guyard,89460,89340,3,Pont-sur-Yonne,CC Yonne Nord,3470,48.34000,3.06472,70,16.93
Villeneuve-sur-Yonne,89464,89500,3,Villeneuve-sur-Yonne,CA du Grand Sénonais,5130,48.08028,3.29778,80,40.39
Vinneuf,89480,89140,3,Thorigny-sur-Oreuse,CC Yonne Nord,1559,48.34972,3.13639,90,15.34
Andelnans,90001,90400,1,Châtenois-les-Forges,CA Grand Belfort,1123,47.60278,6.86472,350,4.17
Bavilliers,90008,90800,1,Bavilliers,CA Grand Belfort,4641,47.61972,6.83222,356,4.74
Beaucourt,90009,90500,1,Delle,CC du Sud Territoire,4985,47.48972,6.92806,440,4.89
Belfort [3],90010,90000,1,Belfort,CA Grand Belfort,45646,47.64222,6.85583,361,17.09
Bessoncourt,90012,90160,1,Grandvillars,CA Grand Belfort,1304,47.64528,6.93389,355,7.94
Bourogne,90017,90140,1,Châtenois-les-Forges,CA Grand Belfort,1737,47.56222,6.91972,343,13.91
Châtenois-les-Forges,90022,90700,1,Châtenois-les-Forges,CA Grand Belfort,2637,47.55861,6.85000,340,8.69
Chaux,90023,90330,1,Giromagny,CC des Vosges du Sud,1181,47.71167,6.83500,420,9.35
Chèvremont,90026,90340,1,Châtenois-les-Forges,CA Grand Belfort,1566,47.62833,6.92389,350,8.77
Cravanche,90029,90300,1,Bavilliers,CA Grand Belfort,1935,47.65306,6.83028,389,1.24
Danjoutin,90032,90400,1,Bavilliers,CA Grand Belfort,3531,47.61611,6.86444,356,5.55
Delle,90033,90100,1,Delle,CC du Sud Territoire,5677,47.50833,6.99778,380,9.16
Essert,90039,90850,1,Bavilliers,CA Grand Belfort,3382,47.63389,6.81556,360,7.11
Étueffont,90041,90170,1,Giromagny,CC des Vosges du Sud,1395,47.72222,6.92028,450,12.54
Évette-Salbert,90042,90350,1,Valdoie,CA Grand Belfort,2022,47.67722,6.80083,400,9.20
Giromagny,90052,90200,1,Giromagny,CC des Vosges du Sud,2897,47.74667,6.82139,488,5.66
Grandvillars,90053,90600,1,Grandvillars,CC du Sud Territoire,2963,47.53917,6.97611,354,15.21
Joncherey,90056,90100,1,Delle,CC du Sud Territoire,1439,47.52528,7.00250,367,5.49
Lepuix,90065,90200,1,Giromagny,CC des Vosges du Sud,1113,47.75917,6.81750,514,28.35
Meroux-Moval,90068,90400,1,Châtenois-les-Forges,CA Grand Belfort,1420,47.59583,6.89639,360,8.78
Méziré,90069,90120,1,Grandvillars,CA Grand Belfort,1268,47.53500,6.91944,342,3.88
Montreux-Château,90071,90130,1,Grandvillars,CA Grand Belfort,1167,47.60917,7.00389,352,4.67
Morvillars,90072,90120,1,Grandvillars,CA Grand Belfort,1098,47.54667,6.93417,350,5.44
Offemont,90075,90300,1,Valdoie,CA Grand Belfort,4054,47.66444,6.87889,370,5.52
Pérouse,90076,90160,1,Bavilliers,CA Grand Belfort,1199,47.63694,6.89306,375,4.89
Roppe,90087,90380,1,Valdoie,CA Grand Belfort,1042,47.66945,6.91889,360,7.57
Rougemont-le-Château,90089,90110,1,Giromagny,CC des Vosges du Sud,1481,47.73556,6.96694,450,16.84
Trévenans,90097,90400,1,Châtenois-les-Forges,CA Grand Belfort,1290,47.57083,6.86333,340,6.05
Valdoie,90099,90300,1,Valdoie,CA Grand Belfort,5193,47.66722,6.84250,375,4.72
Vézelois,90104,90400,1,Châtenois-les-Forges,CA Grand Belfort,1026,47.60889,6.91472,366,9.33
