Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Bethoncourt,25057,25200,2,Bethoncourt,CA Pays de Montbéliard Agglomération,5288,47.53417,6.80056,354,6.63
Beure,25058,25720,1,Besançon-6,CU Grand Besançon Métropole,1342,47.20778,6.00472,250,4.00
Blamont,25063,25310,2,Maîche,CA Pays de Montbéliard Agglomération,1236,47.38445,6.85250,548,9.95
Bonnétage,25074,25210,3,Morteau,CC du Plateau de Russey,1001,47.19944,6.70333,896,17.91
Bouclans,25078,25360,1,Baume-les-Dames,CC des Portes du Haut-Doubs,1057,47.24833,6.23639,439,21.53
Boussières,25084,25320,1,Besançon-6,CU Grand Besançon Métropole,1200,47.15694,5.90083,270,5.63
Chaffois,25110,25300,3,Pontarlier,CC du Grand Pontarlier,1032,46.91389,6.26833,850,16.37
Chalezeule,25112,25220,1,Besançon-4,CU Grand Besançon Métropole,1326,47.25945,6.07528,250,3.93
Charquemont,25127,25140,2,Maîche,CC du Pays de Maîche,2867,47.21389,6.82306,870,21.77
Châtillon-le-Duc,25133,25870,1,Besançon-3,CU Grand Besançon Métropole,2025,47.30778,6.00667,300,6.18
Chemaudin et Vaux,25147,25320,1,Besançon-1,CU Grand Besançon Métropole,2114,47.22472,5.89056,300,7.35
la Cluse-et-Mijoux,25157,25300,3,Pontarlier,CC du Grand Pontarlier,1317,46.87806,6.37444,850,22.76
Colombier-Fontaine,25159,25260,2,Bavans,CA Pays de Montbéliard Agglomération,1215,47.45222,6.69194,310,7.72
Courcelles-lès-Montbéliard,25170,25420,2,Montbéliard,CA Pays de Montbéliard Agglomération,1387,47.50250,6.77667,310,2.39
Cussey-sur-l'Ognon,25186,25870,1,Baume-les-Dames,CU Grand Besançon Métropole,1049,47.33917,5.93889,210,7.51
Dampierre-les-Bois,25190,25490,2,Audincourt,CA Pays de Montbéliard Agglomération,1565,47.50778,6.91139,370,4.76
Damprichard,25193,25450,2,Maîche,CC du Pays de Maîche,1825,47.24583,6.88194,812,21.78
Dannemarie-sur-Crète,25195,25410,1,Besançon-1,CU Grand Besançon Métropole,1503,47.20667,5.86472,286,4.16
Dasle,25196,25230,2,Audincourt,CA Pays de Montbéliard Agglomération,1370,47.47889,6.89611,390,5.60
Devecey,25200,25870,1,Baume-les-Dames,CU Grand Besançon Métropole,1314,47.32500,6.01667,230,3.76
Doubs,25204,25300,3,Pontarlier,CC du Grand Pontarlier,3309,46.92805,6.35083,810,8.92
École-Valentin,25212,25480,1,Besançon-2,CU Grand Besançon Métropole,2620,47.27111,5.98111,317,3.20
Étalans,25222,25580,3,Valdahon,CC des Portes du Haut-Doubs,1648,47.15028,6.26889,590,24.03
Étupes,25228,25460,2,Bethoncourt,CA Pays de Montbéliard Agglomération,3711,47.50806,6.86417,340,9.95
Exincourt,25230,25400,2,Bethoncourt,CA Pays de Montbéliard Agglomération,3273,47.50083,6.83861,333,3.56
Fesches-le-Châtel,25237,25490,2,Bethoncourt,CA Pays de Montbéliard Agglomération,2147,47.52361,6.89778,340,3.55
les Fins,25240,25500,3,Morteau,CC du Val de Morteau,3062,47.07833,6.62917,850,25.66
Fontain,25245,25660,1,Besançon-5,CU Grand Besançon Métropole,1200,47.19861,6.02500,445,16.35
les Fourgs,25254,25300,3,Frasne,CC des Lacs et Montagnes du Haut-Doubs,1429,46.83500,6.40111,1080,27.92
Franois,25258,25770,1,Besançon-1,CU Grand Besançon Métropole,2250,47.23389,5.92444,294,7.29
Frasne,25259,25560,3,Frasne,CC du Plateau de Frasne et du Val de Drugeon (CFD),1958,46.85556,6.15972,850,33.02
Geneuille,25265,25870,1,Baume-les-Dames,CU Grand Besançon Métropole,1264,47.32361,5.97139,220,6.39
