label,category,locality,postal_code,latitude,longitude
Mémoire vive,CulturalSite,Besançon,25000,47.2363994,6.02197852
MC Atelier d'Art,CulturalSite,Jallerange,25170,47.254584,5.721778
Source du Doubs,Landform,Mouthe,25240,46.7073817,6.20641708
Chapelle Notre-Dame du Mont,CulturalSite,Chaffois,25300,46.91377,6.27015
Roche blanche,Landform,Châtelblanc,25240,46.6706079,6.11500962
Le Morond,Landform,Métabief,25370,46.7511089,6.3538742
Point de vue le Seud,Landform,Charmauvillers,25470,47.2403428,6.91096565
Maison du ministre Courvoisier,CulturalSite,Baume-les-Dames,25110,47.35302,6.360692
Mali poterie,CulturalSite,Lods,25930,47.0460378,6.2468351
Cascade du Rougnon,Landform,Laissey,25820,47.29863,6.23388
Église saint claude,CulturalSite,Malbuisson,25160,46.798952,6.304696
Oratoire Notre-Dame des Côtes,CulturalSite,Oye-et-Pallet,25160,46.854427,6.331523
La promenade Micaud,CulturalSite,Besançon,25000,47.2416283,6.03085041
Fromagerie-Musée,CulturalSite,Trépot,25620,47.1671638,6.14888906
Château Montbéliard Wurtemberg,CulturalSite,Montbéliard,25200,47.5091716,6.80068731
Myotte-Duquet - Habitat de Caractère,CulturalSite,Fournets-Luisans,25390,47.11003,6.56136
Le Delta du Doubs,CulturalSite,Besançon,25000,47.2305119,6.02874755
Les Cuirs du Moulin,CulturalSite,Rougemont,25680,47.48117,6.32986
Chapelle oratoire Notre-Dame Secours des Chrétiens,CulturalSite,Aubonne,25520,47.03509,6.32653
Château de Belvoir,CulturalSite,Belvoir,25430,47.3181485,6.6030836
Basilique Sainte-Jeanne-Antide Thouret,CulturalSite,Sancey,25430,47.2966075,6.5835596
Point de vue de Chaon,Landform,Montperreux,25160,46.83571,6.34525
Route des Sapins,Landform,Levier,25270,46.9538897,6.117461
Musée minéralogique de la Grotte d'Osselle,CulturalSite,Roset-Fluans,25410,47.1385959,5.83636879
Oratoire du Sacré Coeur,CulturalSite,Granges-Narboz,25300,46.8793774,6.3170029
